"公众号名称","文章链接","文章配图","公众号初始id","原文链接","文章标题","朋友圈描述","公众号二维码","日期","是否原创","文章作者"
"北京联合大学学生事务服务中心","http://mp.weixin.qq.com/s?__biz=MzA4NTYzNDkwMQ==&mid=215787822&idx=3&sn=77e122c7a60362dac8cee8fc8d06baee&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/MsVZczgyIpdLz9EtrtTiaOLIzUUzYpicE5iaic8giaicfkbNA3GfxnxoY1G4wic8OiaViaXQ9MdNOzsgX6c5ogyibySPrpSA/0?wx_fmt=jpeg","gh_1cd599de23d1","","【校招】2016最新校招信息，请稳住你的小心脏哦～～","准备好了吗？互联网1.百度（网申阶段）推荐理由：百度（Nasdaq：BIDU）是全球最大的中文搜索引擎、最大","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzA4NTYzNDkwMQ==","2015-08-29","N","无作者"
"西安实习吧","http://mp.weixin.qq.com/s?__biz=MzAxMjM2NTE5OQ==&mid=208194625&idx=3&sn=36939c7916a074f9f19474c2a4ac030b&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/ibcse67uNalQ7CS3NWiaSLJNOuHlY3DLMFIdQO7r2F0OOI3Xy5eSBlenm7Dpc0Fc6LGUM5oJ6UEOyhwCg3ibGfnug/0?wx_fmt=jpeg","gh_39d95db0f042","http://job.zte.com.cn#rd","校招 | 中兴通讯 · 财经 · 2016校园招聘","公司简介中兴通讯是全球领先的综合通信解决方案提供商。作为公司最早的职能部门之一，中兴财经一路走来，满载期望与","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxMjM2NTE5OQ==","2015-08-29","N","无作者"
"实习僧","http://mp.weixin.qq.com/s?__biz=MzAxMjM2NTE5OQ==&mid=208194625&idx=3&sn=36939c7916a074f9f19474c2a4ac030b&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/nUhvodTYBvnUCy8BSibS8B9NwUibibuBTpg8ZjibeDekKdMeyquV7T3IpzibG3JoCcXcsPlemIicP2IxyvnynhDL55Dw/0?wx_fmt=jpeg","gh_39d95db0f042","http://job.zte.com.cn#rd","校招 | 中兴通讯 · 财经 · 2016校园招聘","公司简介中兴通讯是全球领先的综合通信解决方案提供商。作为公司最早的职能部门之一，中兴财经一路走来，满载期望与","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxMjM2NTE5OQ==","2015-08-29","N","无作者"
"Offering","http://mp.weixin.qq.com/s?__biz=MjM5MTY3OTYyMQ==&mid=210765239&idx=2&sn=b92af6d9f147a0e5d62ffa3db197d973&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/SN7rgNDzZPjPqReJeTjjkGiaTgBn1gaAia4J3VgzLsclmUMiaxj8kTO419PqNIcr7uhJLxIZJqqSibM5pX8l9JbHXA/0?wx_fmt=jpeg","gh_345139e4ed8d","http://m.shixiseng.com/#rd","求职达人支招群面，怎样才能跨过校招最恐怖一关？ | 大神来了","「大神来了」是实习僧的新栏目，每一期实习僧微信群讲座结束之后，僧妞都会把讲座干货发布在这里。在这里，不仅有实","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5MTY3OTYyMQ==","2015-08-29","N","无作者"
"找实习","http://mp.weixin.qq.com/s?__biz=MjM5MTY3OTYyMQ==&mid=210765239&idx=2&sn=b92af6d9f147a0e5d62ffa3db197d973&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/D6VzSibBzPZKYMDARG6cw9f2nxiaicFnW4h6pibtPwz1ia7TbB5LTYVI4511ibiazb5LQ7n3pF9jTKyXj57eFeJIfFZMw/0?wx_fmt=jpeg","gh_345139e4ed8d","http://m.shixiseng.com/#rd","求职达人支招群面，怎样才能跨过校招最恐怖一关？ | 大神来了","「大神来了」是实习僧的新栏目，每一期实习僧微信群讲座结束之后，僧妞都会把讲座干货发布在这里。在这里，不仅有实","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5MTY3OTYyMQ==","2015-08-29","N","无作者"
"郑州实习吧","http://mp.weixin.qq.com/s?__biz=MzAxMzU1ODQxNA==&mid=209971469&idx=1&sn=680f41a105105dbb7c3585a83069bfba&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/yhiaRFbJ8xnWlQ2Nss85uNyuzqkDHD9bsJ4OiaLHyXbLpmDP0iagjwOO0Q8C1vxB0qwPY31h6R2iamq8gFU2a7hafA/0?wx_fmt=jpeg","gh_85def27718d4","","【校招】技术宅男的春天到了丨2016京东校园招聘全面启动","在这里你将有机会，使用京东的云计算平台，与我们的数据专家一道，将京东端到端的最全面的用户数据，变成有用的知识。","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxMzU1ODQxNA==","2015-08-29","N","无作者"
"E朝朝","http://mp.weixin.qq.com/s?__biz=MzAxMzU1ODQxNA==&mid=209971469&idx=1&sn=680f41a105105dbb7c3585a83069bfba&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/VG9ibAvzH6jAPJzia0dZLXEib2GasgxtEy1ba837cVRuIXcsm6ecunOrHZmf1abRznibkzvs8bpqqsboXRsjWEFELQ/0?wx_fmt=jpeg","gh_85def27718d4","","【校招】技术宅男的春天到了丨2016京东校园招聘全面启动","在这里你将有机会，使用京东的云计算平台，与我们的数据专家一道，将京东端到端的最全面的用户数据，变成有用的知识。","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAxMzU1ODQxNA==","2015-08-29","N","无作者"
"北京实习吧","http://mp.weixin.qq.com/s?__biz=MjM5NTE4MDM4MA==&mid=209065494&idx=7&sn=a7ea36c42777c611b2569f230d9c6562&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/iboiaeB9reibSK9cHsVhDFyw0XKxSIyQ33okKAjD6grvUYF0hlNicCStBfpOWXKuZBTwCNpTQB6Oa3sD8TlQib2bCXg/0?wx_fmt=jpeg","gh_0b0ab36a734c","http://s.p.qq.com/pub/jump?d=AAAQ4q_Q#rd","校招得到BAT产品岗究竟有多难？","<U+FEFF><U+FEFF><U+FEFF><U+FEFF>点击上方蓝字▲“找实习”订阅找实习（zhaoshixi.com)是一个帮助学生找实习、找工作、找兼职","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NTE4MDM4MA==","2015-08-28","N","无作者"
"长沙实习吧","http://mp.weixin.qq.com/s?__biz=MjM5NTE4MDM4MA==&mid=209065494&idx=7&sn=a7ea36c42777c611b2569f230d9c6562&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/mhW1RCQnfsa9mTZwQWpMMN5bPFxeibicoibcWF5HDxSHnU2XpG5xVjR8MDBdXtqusPwbLWFjVpQuIV4dDhawr7XXQ/0?wx_fmt=jpeg","gh_0b0ab36a734c","http://s.p.qq.com/pub/jump?d=AAAQ4q_Q#rd","校招得到BAT产品岗究竟有多难？","<U+FEFF><U+FEFF><U+FEFF><U+FEFF>点击上方蓝字▲“找实习”订阅找实习（zhaoshixi.com)是一个帮助学生找实习、找工作、找兼职","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MjM5NTE4MDM4MA==","2015-08-28","N","无作者"
"武汉实习吧","http://mp.weixin.qq.com/s?__biz=MzAwNjUyMTU2NQ==&mid=212379254&idx=3&sn=d619cd44d2a37ce993d5a5fd28e018ac&3rd=MzA3MDU4NTYzMw==&scene=6#rd","http://img01.store.sogou.com/net/a/04/link?appid=100520031&url=http://mmbiz.qpic.cn/mmbiz/sNTCGXNibCh6Sib2aGvj6IxYZ7FLxQTOlVDmJDnd8xsbeIzMx34n349fAicjSRBOibug2ltWPIUQ5qGyE7J6ZvpqSg/0?wx_fmt=jpeg","gh_7b3cc6eab0a2","http://ctriptech.m.zhiye.com/#rd","校招｜携程 · 2016校园招聘正式启动","公司介绍携程是一个在线票务服务公司，创立于1999年，总部设在中国上海。携程旅行网拥有国内外六十万余家会员酒","http://mp.weixin.qq.com/mp/qrcode?scene=10000001&size=102&__biz=MzAwNjUyMTU2NQ==","2015-08-28","N","无作者"
